book_order,book,total_ch,readers,finishers,chapters_read
1,마태복음,28,67,47,1566
2,마가복음,16,50,39,718
3,누가복음,24,49,36,1025
4,요한복음,21,46,32,793
5,사도행전,28,40,27,898
6,로마서,16,45,37,659
7,고린도전서,16,39,28,537
8,고린도후서,13,36,26,397
9,갈라디아서,6,33,27,178
10,에베소서,6,36,29,195
11,빌립보서,4,30,28,114
12,골로새서,4,29,28,113
13,데살로니가전서,5,27,24,123
14,데살로니가후서,3,23,22,68
15,디모데전서,6,21,21,126
16,디모데후서,4,24,24,96
17,디도서,3,29,28,86
18,빌레몬서,1,29,29,29
19,히브리서,13,31,21,342
20,야고보서,5,28,28,140
21,베드로전서,5,26,26,130
22,베드로후서,3,21,21,63
23,요한일서,5,22,22,110
24,요한이서,1,22,22,22
25,요한삼서,1,22,22,22
26,유다서,1,23,23,23
27,요한계시록,22,25,16,434
