date_kst,new_users
2026-07-01,0
2026-07-02,38
2026-07-03,21
2026-07-04,28
2026-07-05,51
2026-07-06,3
2026-07-07,9
2026-07-08,6
2026-07-09,1
2026-07-10,1
2026-07-11,2
2026-07-12,7
2026-07-13,0
2026-07-14,0
2026-07-15,0
2026-07-16,1
2026-07-17,1
2026-07-18,0
2026-07-19,0
2026-07-20,0
2026-07-21,2
2026-07-22,1
2026-07-23,2
2026-07-24,1
2026-07-25,1
2026-07-26,0
2026-07-27,4
2026-07-28,6
2026-07-29,1
2026-07-30,0
2026-07-31,0
2026-08-01,0
2026-08-02,2
2026-08-03,0
2026-08-04,0
2026-08-05,0
2026-08-06,1
2026-08-07,0
2026-08-08,1
2026-08-09,1
2026-08-10,0
2026-08-11,0
2026-08-12,1
2026-08-13,0
2026-08-14,0
2026-08-15,1
2026-08-16,0
2026-08-17,0
2026-08-18,0
2026-08-19,0
2026-08-20,1
2026-08-21,1
